iter,pi,tol
1,3.1415927300133055233,-1
2,3.1415926535897940042,-1
3,3.141592653589793116,-1
4,3.141592653589793116,-1
5,3.141592653589793116,-1
6,3.141592653589793116,-1
7,3.141592653589793116,-1
8,3.141592653589793116,-1
9,3.141592653589793116,-1
10,3.141592653589793116,-1
11,3.141592653589793116,-1
12,3.141592653589793116,-1
13,3.141592653589793116,-1
14,3.141592653589793116,-1
15,3.141592653589793116,-1
16,3.141592653589793116,-1
17,3.141592653589793116,-1
18,3.141592653589793116,-1
19,3.141592653589793116,-1
20,3.141592653589793116,-1
21,3.141592653589793116,-1
22,3.141592653589793116,-1
23,3.141592653589793116,-1
24,3.141592653589793116,-1
25,3.141592653589793116,-1
26,3.141592653589793116,-1
27,3.141592653589793116,-1
28,3.141592653589793116,-1
29,3.141592653589793116,-1
30,3.141592653589793116,-1
31,3.141592653589793116,-1
32,3.141592653589793116,-1
33,3.141592653589793116,-1
34,3.141592653589793116,-1
35,3.141592653589793116,-1
36,3.141592653589793116,-1
37,3.141592653589793116,-1
38,3.141592653589793116,-1
39,3.141592653589793116,-1
40,3.141592653589793116,-1
41,3.141592653589793116,-1
42,3.141592653589793116,-1
43,3.141592653589793116,-1
44,3.141592653589793116,-1
45,3.141592653589793116,-1
46,3.141592653589793116,-1
47,3.141592653589793116,-1
48,3.141592653589793116,-1
49,3.141592653589793116,-1
50,3.141592653589793116,-1
51,3.141592653589793116,-1
